string_id,paragraph_id,rev,tr,modality,error_category,error_subcategory,error_severity,Language,error_number,error_point,kudos,neutral
1,1,R1,T2,mtpe,Locale convention,Telephone format,Minor,CA,1,1,0,0
2,2,R1,T2,mtpe,,,,CA,0,0,0,0
3,3,R1,T2,mtpe,,,,CA,0,0,0,0
4,4,R1,T2,mtpe,,,,CA,0,0,0,0
5,4,R1,T2,mtpe,,,,CA,0,0,0,0
6,5,R1,T2,mtpe,,,,CA,0,0,0,0
7,6,R1,T2,mtpe,,,,CA,0,0,0,0
8,7,R1,T2,mtpe,Fluency,Spelling,Minor,CA,1,1,0,0
9,7,R1,T2,mtpe,,,,CA,0,0,0,0
10,7,R1,T2,mtpe,,,,CA,0,0,0,0
11,8,R1,T2,mtpe,,,,CA,0,0,0,0
12,9,R1,T2,mtpe,,,,CA,0,0,0,0
13,9,R1,T2,mtpe,,,,CA,0,0,0,0
14,10,R1,T2,mtpe,,,,CA,0,0,0,0
15,10,R1,T2,mtpe,,,,CA,0,0,0,0
16,10,R1,T2,mtpe,,,,CA,0,0,0,0
17,10,R1,T2,mtpe,,,,CA,0,0,0,0
18,10,R1,T2,mtpe,,,,CA,0,0,0,0
19,11,R1,T2,mtpe,,,,CA,0,0,0,0
20,11,R1,T2,mtpe,,,,CA,0,0,0,0
21,12,R1,T2,mtpe,,,,CA,0,0,0,0
22,12,R1,T2,mtpe,,,,CA,0,0,0,0
23,12,R1,T2,mtpe,,,,CA,0,0,0,0
24,13,R1,T2,mtpe,,,,CA,0,0,0,0
25,13,R1,T2,mtpe,Accuracy,Mistranslation,Minor,CA,1,1,0,0
26,14,R1,T2,mtpe,Fluency,Inconsistency,Minor,CA,1,1,0,0
27,15,R1,T2,mtpe,Fluency,Grammar,Minor,CA,1,1,0,0
28,15,R1,T2,mtpe,,,,CA,0,0,0,0
29,16,R1,T2,mtpe,Accuracy,Over-translation,Minor,CA,1,1,0,0
30,17,R1,T2,mtpe,Other,,Kudos,CA,0,0,1,0
31,18,R1,T2,mtpe,Design,Local formatting,Minor,CA,1,1,0,0
32,19,R1,T2,mtpe,Other,,Kudos,CA,0,0,1,0
33,20,R1,T2,mtpe,Design,Local formatting,Neutral,CA,1,0,0,1
34,21,R1,T2,mtpe,Other,,Kudos,CA,0,0,1,0
35,22,R1,T2,mtpe,Design,Local formatting,Neutral,CA,1,0,0,1
36,23,R1,T2,mtpe,Other,,Kudos,CA,0,0,1,0
37,24,R1,T2,mtpe,Design,Local formatting,Neutral,CA,1,0,0,1
38,25,R1,T2,mtpe,,,,CA,0,0,0,0
39,25,R1,T2,mtpe,Fluency,Grammar,Minor,CA,1,1,0,0
40,26,R1,T2,mtpe,,,,CA,0,0,0,0
41,26,R1,T2,mtpe,,,,CA,0,0,0,0
42,26,R1,T2,mtpe,Design,Local formatting,Minor,CA,1,1,0,0
43,27,R1,T2,mtpe,,,,CA,0,0,0,0
44,28,R1,T2,mtpe,Style,Awkward,Minor,CA,1,1,0,0
45,28,R1,T2,mtpe,,,,CA,0,0,0,0
46,29,R1,T2,mtpe,,,,CA,0,0,0,0
47,29,R1,T2,mtpe,,,,CA,0,0,0,0
48,29,R1,T2,mtpe,Style,Awkward,Minor,CA,1,1,0,0
49,30,R1,T2,mtpe,Style,Awkward,Minor,CA,1,1,0,0
