paragraph_id,segment_id,ucp,Source_paragraph,unit,modality,reviewer,translator,classification,sub_classification,Language,reproduction,omission,creative_shift,NA
1,1,1,2BR02B,2BR02B,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
2,2,2,Everything was perfectly swell.,perfectly swell,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
4,5,3,So was old age.,So was all age,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
5,6,4,"Death, barring accidents, was an adventure for volunteers.",barring accidents,mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
5,6,5,,volunteers,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
6,7,6,The population of the United States was stabilized at forty-million souls.,was stabilized at,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
7,8,7,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",Chicago Lying-in Hospital,mtpe,R1,T2,NA,NA,CA,0,0,0,1
7,8,8,,"Edward K. Wehling, Jr.",mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
7,8,9,,waited for his wife to give birth,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
7,9,10,He was the only man waiting.,the only man waiting,mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
7,10,11,Not many people were born a day any more.,Not many people were born a day any more,mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
8,11,12,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",a mere stripling,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
9,12,13,X-rays had revealed that his wife was going to have triplets.,X-rays,mtpe,R1,T2,Modification,Historical,CA,0,0,1,0
10,14,14,"Young Wehling was hunched in his chair, his head in his hand.","hunched in this chair, his head in his hand",mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
10,15,15,"He was so rumpled, so still and colorless as to be virtually invisible.","so rumpled, so still, and colorless",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
10,15,16,,as to be virtually invisible,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
10,16,17,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",disorderly and demoralized air,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
10,18,18,The floor was paved with spattered dropcloths.,spattered dropcloths,mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
11,19,19,The room was being redecorated.,redecorated,mtpe,R1,T2,Concretisation,Addition,CA,0,0,1,0
12,21,20,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",sardonic old man,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
12,22,21,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",Back in the days,mtpe,R1,T2,Omission,Creative,CA,0,1,0,0
