Source Text,Unit of creative potential,Annotator A,Annotator B,Total annotators
2BR02B,2BR02B,1,1,2
Everything was perfectly swell.,perfectly swell,1,1,2
So was old age.,So was all age,1,1,2
"Death, barring accidents, was an adventure for volunteers.",barring accidents,1,0,1
,volunteers,1,0,1
The population of the United States was stabilized at forty-million souls.,was stabilized at,1,0,1
"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",Chicago Lying-in Hospital,1,1,2
,"Edward K. Wehling, Jr.",1,0,1
,waited for his wife to give birth,0,1,1
He was the only man waiting.,the only man waiting,1,1,2
Not many people were born a day any more.,Not many people were born a day any more,0,1,1
"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",a mere stripling,1,1,2
X-rays had revealed that his wife was going to have triplets.,X-rays,1,0,1
"Young Wehling was hunched in his chair, his head in his hand.","hunches in this chair, his head in his hand",0,1,1
"He was so rumpled, so still and colorless as to be virtually invisible.","so rumpled, so still, and colorless",1,0,1
,as to be virtually invisible,0,1,1
"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",disorderly and demoralized air,1,1,2
The floor was paved with spattered dropcloths.,spattered dropcloths,1,1,2
The room was being redecorated.,redecorated,1,0,1
"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",sardonic old man,1,0,1
"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",Back in the days,0,1,1
Aging had touched him that much before the cure for aging was found.,Aging had touched him that much,1,0,1
The mural he was working on depicted a very neat garden.,mural,1,0,1
"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.","Men and women in white, doctors and nurses",1,0,1
,"turned the soil, planted seedlings, sprayed bugs, spread fertilizer",0,1,1
"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",purple uniforms pulled up weeds,0,1,1
,trash burners,1,0,1
"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.","Never, never, never",0,1,1
,"been more formal, been better tended",0,1,1
"Every plant had all the loam, light, water, air and nourishment it could use.","loam, light, water, air and nourishment",1,1,2
"A hospital orderly came down the corridor, singing under his breath a popular song:",orderly came down the corridor,0,1,1
"If you don't like my kisses, honey,","If you don't like my kisses, honey,",1,1,2
Here's what I will do:,Here's what I will do:,1,1,2
"I'll go see a girl in purple,","I'll go see a girl in purple,",1,1,2
Kiss this sad world toodle-oo.,Kiss this sad world toodle-oo.,1,1,2
"If you don't want my lovin',","If you don't want my lovin',",1,1,2
Why should I take up all this space?,Why should I take up all this space?,1,1,2
"I'll get off this old planet,","I'll get off this old planet,",1,1,2
Let some sweet baby have my place.,Let some sweet baby have my place.,1,1,2
The orderly looked in at the mural and the muralist.,looked in at,0,1,1
,mural and muralist,1,1,2
"""What makes you think you're not in it?"" said the painter.",you (formal versus informal),1,0,1
He gave a satiric smile.,satiric smile,1,1,2
"""It's called 'The Happy Garden of Life,' you know.""",The Happy Garden of Life,1,1,2
,you know,1,0,1
