paragraph_id,Ins,Del,Sub,Shft,WdSh,NumEr,NumWd,TER,modality,language,translator
1                 ,0,0,1,0,0,1,1,100.00,HT,CA,T1
2                 ,1,0,1,0,0,2,3,66.67,HT,CA,T1
3                 ,2,0,5,0,0,7,14,50.00,HT,CA,T1
4                 ,0,2,5,1,1,8,10,80.00,HT,CA,T1
5                 ,1,0,3,0,0,4,11,36.36,HT,CA,T1
6                 ,0,0,2,0,0,2,11,18.18,HT,CA,T1
7                 ,0,6,10,0,0,16,40,40.00,HT,CA,T1
8                 ,1,0,5,2,2,8,17,47.06,HT,CA,T1
9                 ,1,3,5,0,0,9,17,52.94,HT,CA,T1
10                ,7,1,16,1,1,25,57,43.86,HT,CA,T1
11                ,1,3,4,0,0,8,17,47.06,HT,CA,T1
12                ,3,2,27,3,3,35,48,72.92,HT,CA,T1
13                ,3,2,4,0,0,9,29,31.03,HT,CA,T1
14                ,4,1,9,2,2,16,23,69.57,HT,CA,T1
15                ,2,5,12,2,3,21,40,52.50,HT,CA,T1
16                ,0,0,7,2,3,9,14,64.29,HT,CA,T1
17                ,0,0,0,0,0,0,7,0.00,HT,CA,T1
18                ,0,0,1,0,0,1,5,20.00,HT,CA,T1
19                ,0,0,1,0,0,1,8,12.50,HT,CA,T1
20                ,0,3,2,0,0,5,7,71.43,HT,CA,T1
21                ,1,0,2,0,0,3,5,60.00,HT,CA,T1
22                ,0,0,7,0,0,7,7,100.00,HT,CA,T1
23                ,0,1,0,0,0,1,4,25.00,HT,CA,T1
24                ,0,0,5,0,0,5,9,55.56,HT,CA,T1
25                ,6,1,5,0,0,12,22,54.55,HT,CA,T1
26                ,0,0,6,1,1,7,26,26.92,HT,CA,T1
27                ,0,0,6,0,0,6,10,60.00,HT,CA,T1
28                ,0,2,1,0,0,3,36,8.33,HT,CA,T1
29                ,5,3,8,0,0,16,49,32.65,HT,CA,T1
30                ,1,0,6,0,0,7,13,53.85,HT,CA,T1
31                ,3,1,14,4,4,22,30,73.33,HT,CA,T1
32                ,0,3,4,0,0,7,13,53.85,HT,CA,T1
33                ,13,0,10,1,1,24,24,100.00,HT,CA,T1
34                ,0,2,4,0,0,6,10,60.00,HT,CA,T1
35                ,0,0,4,0,0,4,8,50.00,HT,CA,T1
36                ,3,1,21,4,6,29,44,65.91,HT,CA,T1
37                ,0,5,1,0,0,6,9,66.67,HT,CA,T1
38                ,12,1,20,1,1,34,28,121.43,HT,CA,T1
39                ,0,0,3,0,0,3,20,15.00,HT,CA,T1
40                ,2,3,9,0,0,14,23,60.87,HT,CA,T1
41                ,5,4,11,0,0,20,29,68.97,HT,CA,T1
42                ,5,1,11,1,1,18,32,56.25,HT,CA,T1
43                ,3,0,2,0,0,5,6,83.33,HT,CA,T1
44                ,2,0,2,0,0,4,19,21.05,HT,CA,T1
45                ,1,2,14,4,4,21,47,44.68,HT,CA,T1
46                ,1,3,10,0,0,14,27,51.85,HT,CA,T1
47                ,5,1,16,6,6,28,44,63.64,HT,CA,T1
48                ,0,0,1,0,0,1,13,7.69,HT,CA,T1
49                ,0,0,13,2,2,15,20,75.00,HT,CA,T1
50                ,2,0,9,1,1,12,19,63.16,HT,CA,T1
51                ,5,0,2,1,1,8,6,133.33,HT,CA,T1
52                ,0,2,0,0,0,2,3,66.67,HT,CA,T1
53                ,0,2,2,0,0,4,4,100.00,HT,CA,T1
54                ,4,0,7,0,0,11,14,78.57,HT,CA,T1
55                ,6,1,20,1,1,28,54,51.85,HT,CA,T1
56                ,2,0,10,0,0,12,19,63.16,HT,CA,T1
57                ,12,0,12,0,0,24,33,72.73,HT,CA,T1
58                ,4,0,12,2,2,18,26,69.23,HT,CA,T1
59                ,15,1,30,5,5,51,62,82.26,HT,CA,T1
60                ,0,0,13,1,1,14,21,66.67,HT,CA,T1
61                ,0,0,4,0,0,4,4,100.00,HT,CA,T1
62                ,5,0,7,0,0,12,10,120.00,HT,CA,T1
63                ,3,0,3,0,0,6,5,120.00,HT,CA,T2
64                ,2,0,19,0,0,21,41,51.22,HT,CA,T2
65                ,3,1,10,1,1,15,24,62.50,HT,CA,T2
66                ,3,2,14,3,4,22,27,81.48,HT,CA,T2
67                ,3,0,13,3,3,19,33,57.58,HT,CA,T2
68                ,3,1,15,3,3,22,30,73.33,HT,CA,T2
69                ,2,0,3,0,0,5,8,62.50,HT,CA,T2
70                ,0,2,10,0,0,12,18,66.67,HT,CA,T2
71                ,6,0,5,0,0,11,8,137.50,HT,CA,T2
72                ,8,0,11,1,1,20,24,83.33,HT,CA,T2
73                ,4,0,10,1,1,15,25,60.00,HT,CA,T2
74                ,3,0,1,0,0,4,4,100.00,HT,CA,T2
75                ,1,0,2,0,0,3,3,100.00,HT,CA,T2
76                ,8,0,8,0,0,16,11,145.46,HT,CA,T2
77                ,1,4,18,3,3,26,36,72.22,HT,CA,T2
78                ,3,1,4,0,0,8,9,88.89,HT,CA,T2
79                ,3,1,10,0,0,14,20,70.00,HT,CA,T2
