id,paragraph,subject,item,tasktype,translation_type,len_sl_chr,len_tl_chr,len_sl_wrd,len_tl_wrd,edit_time,k_total,k_letter,k_digit,k_white,k_symbol,k_nav,k_erase,k_copy,k_cut,k_paste,k_do,np_300,lp_300,np_1000,lp_1000,ev_time_ms,num_annotations,Language
2br02b-t1-2-pe-1,63,T1,2br02b-t1-21,pe,pe,34,18,7,3,56.583,14,1,0,0,0,1,12,0,0,0,0,4,6765,2,5806,56583,2,CA
2br02b-t1-2-pe-2,64,T1,2br02b-t1-22,pe,pe,282,269,47,46,245.716,145,52,0,17,3,17,31,0,3,3,19,53,209289,25,196491,245716,2,CA
2br02b-t1-2-pe-3,65,T1,2br02b-t1-23,pe,pe,144,123,26,22,301.278,60,28,0,3,1,8,20,0,0,0,0,20,264727,10,259720,301278,3,CA
2br02b-t1-2-pe-4,66,T1,2br02b-t1-24,pe,pe,142,144,28,31,487.806,159,64,0,10,0,56,29,0,0,0,0,27,342831,13,334950,487806,4,CA
2br02b-t1-2-pe-5,67,T1,2br02b-t1-25,pe,pe,194,175,32,32,754.446,342,129,0,21,4,114,74,0,0,0,0,49,682433,26,670913,754446,5,CA
2br02b-t1-2-pe-6,68,T1,2br02b-t1-26,pe,pe,163,141,31,28,214.209,224,39,0,3,2,131,49,0,0,0,0,24,178712,14,174124,214209,3,CA
2br02b-t1-2-pe-7,69,T1,2br02b-t1-27,pe,pe,65,59,12,10,36.036,53,29,0,4,1,1,18,0,0,0,0,9,21628,4,19172,36036,3,CA
2br02b-t1-2-pe-8,70,T1,2br02b-t1-28,pe,pe,68,78,11,15,388.197,138,67,0,15,3,15,38,0,0,0,0,27,356967,8,346091,388197,5,CA
2br02b-t1-2-pe-9,71,T1,2br02b-t1-29,pe,pe,51,37,12,7,38.242,68,29,0,6,1,9,23,0,0,0,0,17,22491,6,17203,38242,5,CA
2br02b-t1-2-pe-10,72,T1,2br02b-t1-210,pe,pe,140,146,26,25,87.557,211,83,0,17,4,42,65,0,0,0,0,31,51641,7,38106,87557,3,CA
2br02b-t1-2-pe-11,73,T1,2br02b-t1-211,pe,pe,109,131,21,28,232.238,109,64,0,13,2,12,18,0,0,0,0,22,157931,10,151168,232238,6,CA
2br02b-t1-2-pe-12,74,T1,2br02b-t1-212,pe,pe,20,36,4,7,70.677,79,47,0,5,4,11,12,0,0,0,0,11,30525,5,27152,70677,6,CA
2br02b-t1-2-pe-13,75,T1,2br02b-t1-213,pe,pe,20,11,3,1,10.976,27,6,0,0,0,6,15,0,0,0,0,5,6356,2,4950,10976,2,CA
2br02b-t1-2-pe-14,76,T1,2br02b-t1-214,pe,pe,81,92,12,14,57.227,158,72,0,14,2,14,56,0,0,0,0,24,20423,5,9864,57227,3,CA
2br02b-t1-2-pe-15,77,T1,2br02b-t1-215,pe,pe,192,207,34,34,195.806,260,126,0,23,2,12,97,0,0,0,0,51,136762,23,121173,195806,4,CA
2br02b-t1-2-pe-16,78,T1,2br02b-t1-216,pe,pe,58,62,9,9,31.117,111,35,0,2,3,40,31,0,0,0,0,13,15508,3,11218,31117,4,CA
2br02b-t1-2-pe-17,79,T1,2br02b-t1-217,pe,pe,88,82,17,15,180.223,199,51,0,10,4,64,70,0,0,0,0,25,152798,9,145005,180223,3,CA
2br02b-t1-2-pe-18,80,T1,2br02b-t1-218,pe,pe,179,174,30,34,375.247,308,109,0,22,3,114,60,0,0,0,0,39,193317,17,181548,375247,4,CA
2br02b-t1-2-pe-19,81,T1,2br02b-t1-219,pe,pe,133,150,21,26,202.22,267,70,0,10,6,109,72,0,0,0,0,40,164698,21,154662,202220,4,CA
2br02b-t1-2-pe-20,82,T1,2br02b-t1-220,pe,pe,109,123,20,22,224.511,116,34,0,4,4,40,34,0,0,0,0,16,191238,5,185476,224511,3,CA
2br02b-t1-2-pe-21,83,T1,2br02b-t1-221,pe,pe,53,61,10,11,23.364,22,12,0,0,0,1,9,0,0,0,0,6,10874,1,7291,23364,2,CA
2br02b-t1-2-pe-22,84,T1,2br02b-t1-222,pe,pe,34,34,5,5,28.427,22,8,0,0,0,3,11,0,0,0,0,6,10557,2,8617,28427,3,CA
2br02b-t1-2-pe-23,85,T1,2br02b-t1-223,pe,pe,147,116,30,21,116.439,150,42,0,6,4,72,26,0,0,0,0,17,73095,10,68150,116439,4,CA
